Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price.1	Commission	Taxes	Swap	Profit
285052821	2025.11.07 11:53	1	0.01	XAUUSD	4000.379	0.0	0.0	2025.11.07 11:53	4000.656	0.0	0.0	0.0	-0.28
285059857	2025.11.07 11:59	1	0.01	XAUUSD	4005.386	0.0	0.0	2025.11.07 11:59	4005.365	0.0	0.0	0.0	0.02
285066500	2025.11.07 12:04	1	0.01	XAUUSD	4005.533	0.0	0.0	2025.11.07 12:04	4005.335	0.0	0.0	0.0	0.19
285073189	2025.11.07 12:09	1	0.01	XAUUSD	4005.163	0.0	0.0	2025.11.07 12:10	4004.813	0.0	0.0	0.0	0.35
285079861	2025.11.07 12:15	1	0.01	XAUUSD	4004.942	0.0	0.0	2025.11.07 12:15	4005.185	0.0	0.0	0.0	-0.25
285086207	2025.11.07 12:20	1	0.01	XAUUSD	4003.099	0.0	0.0	2025.11.07 12:20	4003.207	0.0	0.0	0.0	-0.11
285093044	2025.11.07 12:26	1	0.01	XAUUSD	4004.199	0.0	0.0	2025.11.07 12:26	4004.404	0.0	0.0	0.0	-0.2
285098168	2025.11.07 12:31	1	0.01	XAUUSD	4006.7000000000003	0.0	0.0	2025.11.07 12:31	4006.85	0.0	0.0	0.0	-0.15
285104269	2025.11.07 12:37	1	0.01	XAUUSD	4003.244	0.0	0.0	2025.11.07 12:37	4003.133	0.0	0.0	0.0	0.11
285110037	2025.11.07 12:42	1	0.01	XAUUSD	4006.435	0.0	0.0	2025.11.07 12:42	4006.585	0.0	0.0	0.0	-0.15
285114665	2025.11.07 12:47	1	0.01	XAUUSD	4004.639	0.0	0.0	2025.11.07 12:47	4004.555	0.0	0.0	0.0	0.08
285116806	2025.11.07 12:50	1	0.01	XAUUSD	4005.565	0.0	0.0	2025.11.07 12:50	4005.715	0.0	0.0	0.0	-0.15
285117219	2025.11.07 12:50	1	0.01	XAUUSD	4005.732	0.0	0.0	2025.11.07 12:50	4005.88	0.0	0.0	0.0	-0.15
285124280	2025.11.07 12:55	1	0.01	XAUUSD	4007.224	0.0	0.0	2025.11.07 13:02	4007.467	0.0	0.0	0.0	-0.25
285135551	2025.11.07 13:06	1	0.01	XAUUSD	4007.918	0.0	0.0	2025.11.07 13:14	4008.542	0.0	0.0	0.0	-0.62
285142770	2025.11.07 13:17	1	0.01	XAUUSD	4008.484	0.0	0.0	2025.11.07 13:17	4008.634	0.0	0.0	0.0	-0.15
285145945	2025.11.07 13:21	1	0.01	XAUUSD	4007.215	0.0	0.0	2025.11.07 13:25	4007.654	0.0	0.0	0.0	-0.43
285149846	2025.11.07 13:27	1	0.01	XAUUSD	4006.996	0.0	0.0	2025.11.07 13:27	4007.27	0.0	0.0	0.0	-0.27
285153951	2025.11.07 13:32	1	0.01	XAUUSD	4007.5190000000002	0.0	0.0	2025.11.07 13:32	4007.691	0.0	0.0	0.0	-0.17
285180700	2025.11.07 13:59	1	0.01	XAUUSD	4006.931	0.0	0.0	2025.11.07 14:03	4007.091	0.0	0.0	0.0	-0.16
285186505	2025.11.07 14:05	1	0.01	XAUUSD	4005.625	0.0	0.0	2025.11.07 14:05	4005.775	0.0	0.0	0.0	-0.15
285191367	2025.11.07 14:10	1	0.01	XAUUSD	4004.745	0.0	0.0	2025.11.07 14:11	4005.0	0.0	0.0	0.0	-0.25
285195666	2025.11.07 14:16	1	0.01	XAUUSD	4004.774	0.0	0.0	2025.11.07 14:21	3996.005	0.0	0.0	0.0	8.76
285207205	2025.11.07 14:26	1	0.01	XAUUSD	3995.708	0.0	0.0	2025.11.07 14:27	3995.963	0.0	0.0	0.0	-0.25
285213189	2025.11.07 14:32	1	0.01	XAUUSD	3999.065	0.0	0.0	2025.11.07 14:32	3999.252	0.0	0.0	0.0	-0.18
285218627	2025.11.07 14:37	1	0.01	XAUUSD	4000.147	0.0	0.0	2025.11.07 14:37	4000.645	0.0	0.0	0.0	-0.5
285224425	2025.11.07 14:43	1	0.01	XAUUSD	4001.1910000000003	0.0	0.0	2025.11.07 14:43	4001.1400000000003	0.0	0.0	0.0	0.05
285229260	2025.11.07 14:48	1	0.01	XAUUSD	4000.8540000000003	0.0	0.0	2025.11.07 14:50	4001.111	0.0	0.0	0.0	-0.26
285233911	2025.11.07 14:53	1	0.01	XAUUSD	4000.315	0.0	0.0	2025.11.07 14:54	4000.462	0.0	0.0	0.0	-0.14
285238811	2025.11.07 14:59	1	0.01	XAUUSD	4004.263	0.0	0.0	2025.11.07 14:59	4004.708	0.0	0.0	0.0	-0.45
285243077	2025.11.07 15:04	1	0.01	XAUUSD	4004.648	0.0	0.0	2025.11.07 15:05	4004.93	0.0	0.0	0.0	-0.28
285246614	2025.11.07 15:10	1	0.01	XAUUSD	4003.781	0.0	0.0	2025.11.07 15:15	4003.032	0.0	0.0	0.0	0.75
285252533	2025.11.07 15:20	1	0.01	XAUUSD	4001.512	0.0	0.0	2025.11.07 15:21	4001.661	0.0	0.0	0.0	-0.15
285255155	2025.11.07 15:26	1	0.01	XAUUSD	4002.329	0.0	0.0	2025.11.07 15:26	4002.6330000000003	0.0	0.0	0.0	-0.3
285257731	2025.11.07 15:31	1	0.01	XAUUSD	4001.722	0.0	0.0	2025.11.07 15:42	3999.881	0.0	0.0	0.0	1.8399999999999999
285267149	2025.11.07 15:47	1	0.01	XAUUSD	3999.082	0.0	0.0	2025.11.07 15:48	3999.275	0.0	0.0	0.0	-0.2
285270918	2025.11.07 15:53	1	0.01	XAUUSD	4001.264	0.0	0.0	2025.11.07 15:53	4001.421	0.0	0.0	0.0	-0.16
287089955	2025.11.10 11:58	1	0.01	XAUUSD	4101.911	0.0	0.0	2025.11.10 11:58	4102.339	0.0	0.0	0.0	-0.43
287092078	2025.11.10 12:00	1	0.01	XAUUSD	4102.104	0.0	0.0	2025.11.10 12:00	4102.287	0.0	0.0	0.0	-0.19
287094411	2025.11.10 12:03	1	0.01	XAUUSD	4103.337	0.0	0.0	2025.11.10 12:03	4103.418000000001	0.0	0.0	0.0	-0.08
287096121	2025.11.10 12:04	1	0.01	XAUUSD	4102.8910000000005	0.0	0.0	2025.11.10 12:06	4103.504	0.0	0.0	0.0	-0.61
287099962	2025.11.10 12:10	1	0.01	XAUUSD	4103.442	0.0	0.0	2025.11.10 12:11	4103.72	0.0	0.0	0.0	-0.28
287104038	2025.11.10 12:15	1	0.01	XAUUSD	4105.4800000000005	0.0	0.0	2025.11.10 12:15	4105.594	0.0	0.0	0.0	-0.11
287110305	2025.11.10 12:20	1	0.01	XAUUSD	4109.529	0.0	0.0	2025.11.10 12:20	4109.708	0.0	0.0	0.0	-0.18
287114721	2025.11.10 12:25	1	0.01	XAUUSD	4109.674	0.0	0.0	2025.11.10 12:25	4109.824	0.0	0.0	0.0	-0.15
287120708	2025.11.10 12:30	1	0.01	XAUUSD	4114.435	0.0	0.0	2025.11.10 12:30	4114.979	0.0	0.0	0.0	-0.54
287126233	2025.11.10 12:35	1	0.01	XAUUSD	4111.447	0.0	0.0	2025.11.10 12:35	4111.646	0.0	0.0	0.0	-0.2
287129968	2025.11.10 12:40	1	0.01	XAUUSD	4109.342	0.0	0.0	2025.11.10 12:41	4109.876	0.0	0.0	0.0	-0.54
287131643	2025.11.10 12:42	1	0.01	XAUUSD	4108.781	0.0	0.0	2025.11.10 12:42	4109.054	0.0	0.0	0.0	-0.27
287135093	2025.11.10 12:47	1	0.01	XAUUSD	4107.465	0.0	0.0	2025.11.10 12:47	4107.94	0.0	0.0	0.0	-0.47
287139900	2025.11.10 12:52	1	0.01	XAUUSD	4106.907	0.0	0.0	2025.11.10 12:52	4107.057	0.0	0.0	0.0	-0.15
287144085	2025.11.10 12:58	1	0.01	XAUUSD	4109.779	0.0	0.0	2025.11.10 12:59	4110.419	0.0	0.0	0.0	-0.64
287147540	2025.11.10 13:03	1	0.01	XAUUSD	4108.341	0.0	0.0	2025.11.10 13:03	4108.606	0.0	0.0	0.0	-0.27
287151132	2025.11.10 13:08	1	0.01	XAUUSD	4109.1810000000005	0.0	0.0	2025.11.10 13:08	4109.331	0.0	0.0	0.0	-0.15
287155501	2025.11.10 13:13	1	0.01	XAUUSD	4113.203	0.0	0.0	2025.11.10 13:13	4113.581	0.0	0.0	0.0	-0.38
287159443	2025.11.10 13:18	1	0.01	XAUUSD	4111.5070000000005	0.0	0.0	2025.11.10 13:18	4111.669	0.0	0.0	0.0	-0.16
287162241	2025.11.10 13:23	1	0.01	XAUUSD	4110.71	0.0	0.0	2025.11.10 13:23	4111.006	0.0	0.0	0.0	-0.3
287165384	2025.11.10 13:28	1	0.01	XAUUSD	4115.262	0.0	0.0	2025.11.10 13:28	4115.225	0.0	0.0	0.0	0.03
287168666	2025.11.10 13:33	1	0.01	XAUUSD	4112.242	0.0	0.0	2025.11.10 13:33	4112.468	0.0	0.0	0.0	-0.23
287171328	2025.11.10 13:38	1	0.01	XAUUSD	4112.194	0.0	0.0	2025.11.10 13:38	4112.476	0.0	0.0	0.0	-0.29
287179492	2025.11.10 13:50	1	0.01	XAUUSD	4111.289	0.0	0.0	2025.11.10 13:50	4111.522	0.0	0.0	0.0	-0.23
287181628	2025.11.10 13:53	1	0.01	XAUUSD	4112.488	0.0	0.0	2025.11.10 13:53	4112.638	0.0	0.0	0.0	-0.15
